Bidder_0,Bidder_1,Bidder_2,Bidder_3,Bidder_4,Bidder_5,Bidder_6,Bidder_7,Bidder_8,Bidder_9,Bidder_10,Bidder_11,Bidder_12,Bidder_13,Bidder_14,Bidder_15,Bidder_16,Bidder_17,Bidder_18,Bidder_19,Round
1004.7032321817769,1257.2356167722724,785.3633955427802,1166.762866010972,966.4029084483119,1113.7016205455961,964.3876484017345,1138.7399061038711,946.8029248129186,809.6298300170797,1269.5110166862585,816.8635747611934,971.6702128405763,1315.171282575957,868.6273974992375,890.6311746178385,1073.0695501109963,1115.8727563684888,764.5256576651348,827.4213344108753,0
944.2032083412107,1204.5069046256053,716.6232201090788,1111.7116799938558,904.3820257200385,1057.054694061219,902.284904537436,1082.8685997661278,883.9798992423539,741.498861575851,1217.0617662074667,748.9512433417964,909.8625275603706,1263.6934057184437,802.5870754573905,825.4802355041921,1015.0761041858984,1059.294710631511,695.4656696486801,759.8520089882157,1
877.3447405361582,1147.1344457342145,646.6976861774224,1051.3968182521592,835.8949188900789,994.7535842789307,833.7144349104328,1021.528276908063,814.6995164270743,670.3018506381716,1160.046252013764,677.5271200149273,841.5948501046905,1207.9223501574631,730.9756911552514,754.3183190522717,951.1340178764704,997.0785210993347,627.4052778236418,688.2011706927149,2
804.1355924514585,1084.3854030457687,591.9494651699855,985.0353398978069,761.6859624889473,926.0667239689424,759.4714495113792,953.9507648017226,740.265055945329,608.5184003111673,1097.7440249255171,614.0260489883096,767.4851742011216,1147.187645198089,659.4278310378337,681.1227224074521,880.6443010896548,928.488344032005,580.3521365720619,622.4824561922292,3
735.9393117975687,1015.4702508933758,580.7170648700762,912.025377924428,697.6389880641036,850.8088234469092,695.6237280175262,879.7092494879204,678.0390044287103,583.9164253676155,1029.3642652810918,585.4969200699634,702.906292456368,1080.7172200917541,606.6051117148191,621.8672542336303,804.3056297267881,853.3140000925059,580.0006403314155,588.3833939050734,4
712.8167098234799,965.3490944139753,501.8623214013818,874.8763436526749,674.516386090015,821.8150981872991,672.5011260434376,846.8533837455741,654.9164024546217,517.7433076587827,977.6244943279614,524.9770524028963,679.7836904822793,1023.28476021766,576.7408751409405,598.7446522595415,781.1830277526992,823.9862340101918,500.9921255617259,535.5348120525782,5
692.7870009298015,945.3193855202969,473.4471642908048,854.8466347589965,654.4866771963366,801.7853892936207,652.4714171497592,826.8236748518957,634.8866935609433,497.71359876510434,957.594785434283,504.947343509218,659.7539815886009,1003.2550513239817,556.7111662472621,578.7149433658631,761.1533188590208,803.9565251165134,452.6094264131594,515.5051031588998,6
675.119545581344,927.6519301718395,455.7797089423472,837.1791794105391,636.8192218478789,784.1179339451633,634.8039618013015,809.1562195034383,617.2192382124856,480.04614341664677,939.9273300858256,487.27988816076044,642.0865262401433,985.5875959755242,539.0437108988046,561.0474880174056,743.4858635105634,786.2890697680559,434.9419710647018,497.8376478104423,7
659.31546823267,911.8478528231655,439.97563159367326,821.375102061865,621.015144499205,768.3138565964892,618.9998844526276,793.3521421547642,601.4151608638117,464.2420660679728,924.1232527371516,471.4758108120865,626.2824488914694,969.7835186268502,523.2396335501306,545.2434106687316,727.6817861618894,770.4849924193819,419.13789371602786,482.03357046176836,8
645.0189412620214,897.5513258525168,425.67910462302456,807.0785750912164,606.7186175285563,754.0173296258406,604.7033574819789,779.0556151841156,587.118633893163,449.9455390973241,909.8267257665029,457.1792838414378,611.9859219208206,955.4869916562016,508.94310657948193,530.946883698083,713.3852591912407,756.1884654487333,404.84136674537916,467.73704349111966,9
631.9672347135769,884.4996193040723,412.6273980745801,794.0268685427719,593.6669109801119,740.9656230773961,591.6516509335345,766.0039086356711,574.0669273447186,436.8938325488797,896.7750192180584,444.12757729299335,598.9342153723762,942.4352851077571,495.8914000310375,517.8951771496385,700.3335526427962,743.1367589002888,391.78966019693473,454.68533694267524,10
619.9608285625463,872.4932131530418,400.62099192354964,782.0204623917414,581.6605048290814,728.9592169263656,579.645244782504,753.9975024846406,562.0605211936881,424.8874263978492,884.7686130670279,432.12117114196286,586.9278092213458,930.4288789567265,483.884993880007,505.888770998608,688.3271464917657,731.1303527492582,379.78325404590424,442.67893079164475,11
608.8446327394881,861.3770173299836,389.5047961004914,770.9042665686832,570.5443090060231,717.8430211033074,568.5290489594457,742.8813066615824,550.9443253706298,413.77123057479093,873.6524172439697,421.0049753189046,575.8116133982875,919.3126831336683,472.76879805694875,494.7725751755497,677.2109506687075,720.0141569262,368.667058222846,431.5627349685865,12
598.4957020164454,851.0280866069409,379.15586537744866,760.5553358456405,560.1953782829804,707.4940903802647,558.180118236403,732.5323759385396,540.5953946475871,403.4222998517482,863.303486520927,410.6560445958619,565.4626826752448,908.9637524106256,462.41986733390604,484.423644452507,666.8620199456648,709.6652262031573,358.31812749980327,421.21380424554377,13
588.8149238458097,841.3473084363052,369.475087206813,750.8745576750048,550.5146001123447,697.813312209629,548.4993400657673,722.851597767904,530.9146164769514,393.74152168111254,853.6227083502913,400.9752664252262,555.7819045046091,899.2829742399899,452.73908916327036,474.74286628187133,657.1812417750291,699.9844480325216,348.6373493291676,411.5330260749081,14
579.7212305733444,832.2536151638399,360.3813939343477,741.7808644025395,541.4209068398795,688.7196189371637,539.4056467933021,713.7579044954387,521.8209232044862,384.6478284086473,844.529015077826,391.88157315276095,546.6882112321439,890.1892809675246,443.6453958908051,465.64917300940607,648.0875485025638,690.8907547600563,339.54365605670233,402.43933280244283,15
571.1474684973523,823.6798530878477,351.8076318583555,733.2071023265473,532.8471447638872,680.1458568611715,530.8318847173098,705.1841424194465,513.2471611284939,376.07406633265504,835.9552530018339,383.3078110767687,538.1144491561515,881.6155188915325,435.07163381481286,457.0754109334138,639.5137864265716,682.3169926840642,330.9698939807101,393.8655707264506,16
563.0373853068108,815.5697698973063,343.6975486678141,725.0970191360059,524.7370615733458,672.0357736706301,522.7218015267684,697.0740592289051,505.13707793795254,367.96398314211365,827.8451698112924,375.1977278862273,530.0043659656102,873.505435700991,426.96155062427147,448.96532774287243,631.4037032360302,674.2069094935227,322.8598107901687,385.7554875359092,17
